"date", "precipitation", "snowfall", "snowdepth", "snowdepth_water_equiv", "snowfall_water_equiv"
2017-03-29, NA, NA, NA, NA, NA
2017-03-30, NA, NA, NA, NA, NA
2017-03-31, NA, NA, NA, NA, NA
2017-04-01, NA, NA, NA, NA, NA
2017-04-02, NA, NA, NA, NA, NA
2017-04-03, NA, NA, NA, NA, NA
2017-04-04, NA, NA, NA, NA, NA
2017-04-05, NA, NA, NA, NA, NA
2017-04-06, NA, NA, NA, NA, NA
2017-04-07, NA, NA, NA, NA, NA
2017-04-08, NA, NA, NA, NA, NA
2017-04-09, NA, NA, NA, NA, NA
2017-04-10, NA, NA, NA, NA, NA
2017-04-11, NA, NA, NA, NA, NA
2017-04-12, NA, NA, NA, NA, NA
2017-04-13, NA, NA, NA, NA, NA
2017-04-14, NA, NA, NA, NA, NA
2017-04-15, NA, NA, NA, NA, NA
2017-04-16, NA, NA, NA, NA, NA
2017-04-17, NA, NA, NA, NA, NA
2017-04-18, NA, NA, NA, NA, NA
2017-04-19, NA, NA, NA, NA, NA
2017-04-20, NA, NA, NA, NA, NA
2017-04-21, NA, NA, NA, NA, NA
2017-04-22, NA, NA, NA, 3.6, 3.6
2017-04-23, NA, NA, NA, 8.9, NA
2017-04-24, NA, NA, NA, NA, NA
2017-04-25, NA, NA, NA, NA, NA
2017-04-26, 6.4, 0, 0, NA, NA
2017-04-27, 0, 0, 0, NA, NA
2017-04-28, 0, 0, 0, NA, NA
2017-04-29, 0, 0, 0, NA, NA
2017-04-30, 0, 0, 0, NA, NA
2017-05-01, 5.1, 0, 0, NA, NA
2017-05-02, 7.1, 0, 0, NA, NA
2017-05-03, 0.3, 0, 0, NA, NA
2017-05-04, 0, 0, 0, NA, NA
2017-05-05, 0, 0, 0, NA, NA
2017-05-06, 0, 0, 0, NA, NA
2017-05-07, 0.8, 0, 0, NA, NA
2017-05-08, 46.7, 64, 64, NA, NA
2017-05-09, 0, 0, 13, NA, NA
2017-05-10, 0, 0, 0, NA, NA
2017-05-11, 0, 0, 0, NA, NA
2017-05-12, 0, 0, 0, NA, NA
2017-05-13, 0, 0, 0, NA, NA
2017-05-14, 0, 0, 0, NA, NA
2017-05-15, 0, 0, 0, NA, NA
2017-05-16, 0.3, 0, 0, NA, NA
2017-05-17, 4.6, 0, 0, NA, NA
2017-05-18, 4.8, 0, 0, NA, NA
2017-05-19, 0, 0, 0, NA, NA
2017-05-20, 0, 0, 0, NA, NA
2017-05-21, 0, 0, 0, NA, NA
2017-05-22, 0.8, 0, 0, NA, NA
2017-05-23, 5.8, 25, 25, NA, NA
2017-05-24, 5.6, 64, 89, NA, NA
2017-05-25, 0, 0, 0, NA, NA
2017-05-26, 4.8, 38, 38, NA, NA
2017-05-27, 0, 0, 0, NA, NA
2017-05-28, 0, 0, 0, NA, NA
2017-05-29, 0, 0, 0, NA, NA
2017-05-30, 0.3, 0, 0, NA, NA
2017-05-31, 2.5, 0, 0, NA, NA
2017-06-01, 0, 0, 0, NA, NA
2017-06-02, 0, 0, 0, NA, NA
2017-06-03, 0, 0, 0, NA, NA
2017-06-04, 0, 0, 0, NA, NA
2017-06-05, 0.3, 0, 0, NA, NA
2017-06-06, 0, 0, 0, NA, NA
2017-06-07, 6.6, 0, 0, NA, NA
2017-06-08, 0, 0, 0, NA, NA
2017-06-09, 0, 0, 0, NA, NA
2017-06-10, 0, 0, 0, NA, NA
2017-06-11, 1.8, 0, 0, NA, NA
2017-06-12, 7.4, 0, 0, NA, NA
