"date", "max_temperature", "min_temperature", "precipitation", "snowfall", "snowdepth"
1990-09-01, 28.9, 10, 0, 0, 0
1990-09-02, 28.9, 11.1, 0, 0, 0
1990-09-03, 31.7, 14.4, 0, 0, 0
1990-09-04, 31.1, 13.3, 0, 0, 0
1990-09-05, 30.6, 12.8, 3, 0, 0
1990-09-06, 31.1, 12.8, 5.6, 0, 0
1990-09-07, 26.7, 10, 0, 0, 0
1990-09-08, 26.1, 8.9, 0, 0, 0
1990-09-09, 27.2, 9.4, 0, 0, 0
1990-09-10, 28.3, 9.4, 0, 0, 0
1990-09-11, 28.3, 8.9, 0, 0, 0
1990-09-12, 31.1, 7.8, 0, 0, 0
1990-09-13, 32.8, 12.8, 0, 0, 0
1990-09-14, 32.8, 1.1, 0, 0, 0
1990-09-15, 22.8, 1.1, 0, 0, 0
1990-09-16, 23.9, 5.6, 0, 0, 0
1990-09-17, 21.1, 13.3, 0, 0, 0
1990-09-18, 21.1, 9.4, 0, 0, 0
1990-09-19, 21.1, 5.6, 0, 0, 0
1990-09-20, 21.1, 5.6, 19.6, 0, 0
1990-09-21, 21.1, 1.1, 0, 0, 0
1990-09-22, 20, 2.2, 0, 0, 0
1990-09-23, 15, -1.1, 0, 0, 0
1990-09-24, 20, 0, 0, 0, 0
1990-09-25, 28.9, 5.6, 0, 0, 0
1990-09-26, 27.2, 7.2, 0, 0, 0
1990-09-27, 27.2, 7.2, 0, 0, 0
1990-09-28, 14.4, 5, 0, 0, 0
1990-09-29, 14.4, 4.4, 1, 0, 0
1990-09-30, 14.4, 2.8, 0, 0, 0
1990-10-01, 24.4, 1.1, 0, 0, 0
1990-10-02, 24.4, 1.1, 0, 0, 0
1990-10-03, 18.9, 1.7, 0, 0, 0
1990-10-04, 12.8, 0.6, 0, 0, 0
1990-10-05, 25, 0.6, 0, 0, 0
1990-10-06, 27.2, -0.6, 0, 0, 0
1990-10-07, 2.2, -1.7, 0, 0, 0
1990-10-08, 0, -4.4, 3, 30, NA
1990-10-09, 5.6, -5, 0, 0, 0
1990-10-10, 11.7, -5, 0, 0, 0
1990-10-11, 20, -1.1, 0, 0, 0
1990-10-12, 6.7, -5.6, 5.3, 28, NA
1990-10-13, 14.4, -5, 0, 0, 0
1990-10-14, 7.2, -2.2, 5.8, 0, 0
1990-10-15, 8.9, -2.2, 0, 0, 0
1990-10-16, 10, -2.2, 0, 0, 0
1990-10-17, 14.4, 0.6, 0, 0, 0
1990-10-18, 3.9, -6.7, 0, 0, 0
1990-10-19, 17.8, -6.1, 0, 0, 0
1990-10-20, 17.8, 0.6, 0, 0, 0
1990-10-21, 6.1, -6.1, 0, 0, 0
1990-10-22, 11.1, -6.1, 0, 0, 0
1990-10-23, 15.6, -2.2, 0, 0, 0
1990-10-24, 15.6, -5, 1.3, 13, 0
1990-10-25, 12.8, -5, 0, 0, 0
1990-10-26, 22.8, 0.6, 0, 0, 0
1990-10-27, 23.9, -3.3, 0, 0, 0
1990-10-28, 13.9, -2.8, 0, 0, 0
1990-10-29, 26.1, -2.8, 0, 0, 0
1990-10-30, 23.3, -1.7, 0, 0, 0
1990-10-31, 23.3, -1.7, 0, 0, 0
1990-11-01, 22.2, 3.9, 0, 0, 0
1990-11-02, 22.2, -1.1, 10.9, 0, 0
1990-11-03, 1.1, -3.9, 0, 0, 0
1990-11-04, 3.3, -7.2, 0, 0, 0
1990-11-05, 10.6, -3.3, 0, 0, 0
1990-11-06, 5.6, -8.3, 12.7, 64, NA
1990-11-07, -2.2, -13.3, 0, 0, NA
1990-11-08, 7.8, -12.2, 0, 0, NA
1990-11-09, 8.9, -5.6, 0, 0, 0
1990-11-10, 11.7, -3.9, 0, 0, 0
1990-11-11, 16.1, -1.7, 0, 0, 0
1990-11-12, 20, -2.8, 0, 0, 0
1990-11-13, 20.6, -3.3, 0, 0, 0
1990-11-14, 20, -2.2, 0, 0, 0
1990-11-15, 22.2, 1.1, 0, 0, 0
1990-11-16, 9.4, -7.2, 0, 0, 0
1990-11-17, 10.6, -6.1, 0, 0, 0
1990-11-18, 12.2, -2.2, 0, 0, 0
1990-11-19, 12.2, -2.2, 0, 0, 0
1990-11-20, 14.4, -3.3, 0, 0, 0
1990-11-21, 13.9, -3.3, 0, 0, 0
1990-11-22, 16.7, -5.6, 0, 0, 0
1990-11-23, 11.1, -2.2, 0, 0, 0
1990-11-24, 14.4, -1.1, 0, 0, 0
1990-11-25, 19.4, -7.8, 0, 0, 0
1990-11-26, 13.9, -6.7, 0, 0, 0
1990-11-27, -0.6, -11.1, 0, 0, 0
1990-11-28, 2.2, -7.8, 0, 0, 0
1990-11-29, 2.8, -11.1, 0, 0, 0
1990-11-30, 12.8, -11.1, 0, 0, 0
1990-12-01, 9.4, -9.4, 0, 0, 0
1990-12-02, -0.6, -8.3, 0, 0, 0
1990-12-03, 3.3, -11.1, 0, 0, 0
1990-12-04, 2.2, -10, 0, 0, 0
1990-12-05, 12.8, -4.4, 0, 0, 0
1990-12-06, 6.1, -7.2, 0, 0, 0
1990-12-07, 3.3, -4.4, 0, 0, 0
1990-12-08, 13.3, -5, 0, 0, 0
1990-12-09, 13.3, -4.4, 0, 0, 0
1990-12-10, 16.7, -3.9, 0, 0, 0
1990-12-11, 18.3, -4.4, 0, 0, 0
1990-12-12, 15, -4.4, 0, 0, 0
1990-12-13, 3.3, -11.1, 0, 0, 0
1990-12-14, 0, -5, 0, 0, 0
1990-12-15, 0, -13.3, 9.9, 127, 127
1990-12-16, 2.2, -12.2, 0, 0, NA
1990-12-17, 6.1, -13.3, 0, 0, NA
1990-12-18, 2.2, -13.3, 0, 0, NA
1990-12-19, 5, -22.2, 2.8, 38, 127
1990-12-20, -21.7, -28.3, 2.3, 25, 152
1990-12-21, -22.8, -27.2, 0, 0, NA
1990-12-22, -22.8, -35, 0, 0, NA
1990-12-23, -14.4, -34.4, 0, 0, NA
1990-12-24, -6.1, -18.3, 0, 0, NA
1990-12-25, -3.3, -24.4, 0, 0, NA
1990-12-26, -12.8, -24.4, 0, 0, NA
1990-12-27, -3.9, -19.4, 0, 0, NA
1990-12-28, 2.2, -17.8, 0, 0, NA
1990-12-29, -17.2, -31.7, 0, 0, NA
1990-12-30, -24.4, -33.9, 0, 0, NA
1990-12-31, -6.7, -24.4, 0, 0, NA
1991-01-01, 4.4, -12.8, 0, 0, 102
1991-01-02, -7.2, -18.9, 0, 0, 102
1991-01-03, -11.1, -19.4, 0, 0, 102
1991-01-04, -9.4, -21.1, 0, 0, 102
1991-01-05, -3.3, -20.6, 0, 0, 102
1991-01-06, -10.6, -25, 0, 0, 102
1991-01-07, -0.6, -20.6, 0, 0, 102
1991-01-08, 8.3, -14.4, 0, 0, 102
1991-01-09, -11.1, -19.4, 0, 13, 127
1991-01-10, 3.3, -14.4, 0, 0, 127
1991-01-11, 6.7, -14.4, 0, 0, 102
1991-01-12, 4.4, -12.2, 0, 0, 102
