"date", "max_temperature", "min_temperature", "precipitation"
1916-05-01, 6.1, -2.2, 0
1916-05-02, 15, 0.6, 0.3
1916-05-03, 14.4, -0.6, 0
1916-05-04, 25, 11.7, 0
1916-05-05, 25.6, 11.1, 0
1916-05-06, 27.8, 16.1, 0
1916-05-07, 30.6, 8.9, 0
1916-05-08, 20, -0.6, 0
1916-05-09, 24.4, 7.2, 0
1916-05-10, 32.2, 5, 0
1916-05-11, 14.4, -1.1, 0
1916-05-12, 15.6, 0, 7.9
1916-05-13, 5.6, 0.6, 20.8
1916-05-14, 6.1, 2.2, 4.1
1916-05-15, 2.8, 0.6, 30.2
1916-05-16, 10, 1.7, 1.5
1916-05-17, 12.2, 1.1, 0.3
1916-05-18, 13.3, 5, 0
1916-05-19, 16.7, 4.4, 0
1916-05-20, 15, 8.3, 1.3
1916-05-21, 11.1, 8.3, 38.6
1916-05-22, 17.2, 7.8, 0.3
1916-05-23, 12.8, 3.3, 1.8
1916-05-24, 18.3, 7.8, 2.3
1916-05-25, 13.9, 8.3, 7.1
1916-05-26, 23.3, 5, 2.5
1916-05-27, 18.9, 4.4, 0
1916-05-28, 20.6, 7.2, 0
1916-05-29, 23.9, 10, 0
1916-05-30, 25.6, 7.8, 0
1916-05-31, 27.2, 10, 1.3
1916-06-01, 21.1, 7.8, 2.8
1916-06-02, 11.1, 7.2, 2.5
1916-06-03, 18.9, 7.2, 0
1916-06-04, 21.1, 9.4, 0
1916-06-05, 25, 8.9, 0
1916-06-06, 21.1, 8.3, 0
1916-06-07, 15, 3.3, 0
1916-06-08, 18.9, 5.6, 0
1916-06-09, 22.8, 7.2, 0
1916-06-10, 26.1, 13.3, 1.3
1916-06-11, 23.3, 8.3, 2
1916-06-12, 16.1, 6.7, 3
1916-06-13, 14.4, 6.7, 11.2
1916-06-14, 22.2, 10.6, 0.3
1916-06-15, 21.1, 8.9, 4.6
1916-06-16, 20, 8.9, 0
1916-06-17, 25, 13.3, 0
1916-06-18, 27.2, 11.1, 2.5
1916-06-19, 21.7, 11.7, 0.3
1916-06-20, 16.1, 10.6, 3.8
1916-06-21, 16.1, 11.1, 19.8
1916-06-22, 15.6, 11.7, 3.6
1916-06-23, 18.3, 7.2, 3.8
1916-06-24, 21.1, 5.6, 0
1916-06-25, 25.6, 12.2, 0
1916-06-26, 25.6, 10, 0
1916-06-27, 25, 15.6, 0.3
1916-06-28, 28.9, 16.1, 0
1916-06-29, 33.3, 16.7, 0.5
1916-06-30, 29.4, 13.3, 0.5
1916-07-01, 27.2, 12.8, 0
1916-07-02, 32.2, 15, 0
1916-07-03, 33.3, 15.6, 0
1916-07-04, 33.3, 12.2, 0
1916-07-05, 28.9, 14.4, 0
1916-07-06, 35.6, 16.7, 0
1916-07-07, 37.8, 18.3, 0
1916-07-08, 36.7, 14.4, 0
1916-07-09, 33.9, 16.1, 0
1916-07-10, 36.7, 18.9, 2
1916-07-11, 28.9, NA, 0
1916-07-12, 30, 15, 0
1916-07-13, 31.7, 15.6, 0
1916-07-14, 33.3, 12.8, 0
1916-07-15, 31.7, 13.3, 0
1916-07-16, 32.2, 15.6, 3.6
1916-07-17, 31.1, 17.2, 5.1
1916-07-18, 35, 20, 0
1916-07-19, 30, 11.1, 10.2
1916-07-20, 28.9, 12.2, 0
1916-07-21, 33.9, 16.7, 0
1916-07-22, 32.2, 13.9, 0
1916-07-23, 30.6, 16.7, 0.3
1916-07-24, 27.8, 16.1, 0
1916-07-25, 33.9, 18.3, 0
1916-07-26, 28.9, 16.1, 0.3
1916-07-27, 34.4, 18.9, 0
1916-07-28, 38.9, 17.2, 0
1916-07-29, 35, 16.7, 4.1
1916-07-30, 27.8, 15, 11.9
1916-07-31, 26.7, 13.9, 0
1916-08-01, 26.7, 18.3, 0
1916-08-02, 36.1, 15.6, 0
1916-08-03, 35, 16.1, 7.1
1916-08-04, 36.1, 18.3, 2.3
1916-08-05, 28.3, 20, 0
1916-08-06, 32.2, 17.8, 0
1916-08-07, 21.7, 11.1, 3.6
1916-08-08, 31.1, 13.9, 0
1916-08-09, 36.1, 19.4, 3.6
1916-08-10, 32.2, 12.2, 1
1916-08-11, 25, 11.1, 0
1916-08-12, 13.9, 7.8, 0.8
1916-08-13, 15.6, 9.4, 0.3
1916-08-14, 18.3, 10.6, 0.5
1916-08-15, 29.4, 16.1, 0.3
1916-08-16, 33.3, 14.4, 0
1916-08-17, 33.9, 13.3, 27.4
1916-08-18, 32.2, 13.3, 0
1916-08-19, 35.6, 12.8, 0
1916-08-20, 26.1, 11.7, 1
1916-08-21, NA, 11.1, 8.4
1916-08-22, 17.8, 5, 0
1916-08-23, 27.8, 9.4, 0
1916-08-24, 32.2, 14.4, 0
1916-08-25, 31.7, 11.1, 0
1916-08-26, 26.1, 12.2, 2.8
1916-08-27, 18.9, 8.9, 3.3
1916-08-28, 23.9, 8.3, 0
1916-08-29, 30, 13.3, 0
1916-08-30, 27.2, 10, 0
1916-08-31, 29.4, 12.8, 0.3
1916-09-01, 21.1, 12.2, 0
1916-09-02, 27.8, 10, 0
1916-09-03, 32.8, 14.4, 0
1916-09-04, 35.6, 12.2, 0
1916-09-05, 31.7, 10, 0
1916-09-06, 27.8, 12.2, 0
1916-09-07, 26.1, 8.3, 0.5
1916-09-08, 25, 13.3, 0
1916-09-09, 35.6, 16.1, 0
1916-09-10, 30.6, 10.6, 0.3
1916-09-11, 16.7, 5, 0
1916-09-12, 19.4, 3.3, 0
1916-09-13, 27.2, 7.8, 0
1916-09-14, 25, 0, 0
1916-09-15, 13.9, 1.7, 0
1916-09-16, 19.4, 3.3, 0
1916-09-17, 19.4, 2.8, 0
1916-09-18, 23.3, 3.3, 0
1916-09-19, 28.3, 8.9, 0
1916-09-20, 29.4, 11.7, 0
1916-09-21, 21.1, 5, 0
1916-09-22, 20, 3.3, 0
1916-09-23, 24.4, 2.2, 0
1916-09-24, 25, 6.1, 0
1916-09-25, 26.7, 7.2, 0
1916-09-26, 26.1, 7.2, 0
1916-09-27, 16.7, 5, 0.3
1916-09-28, 13.3, 2.8, 0.8
1916-09-29, 13.3, 0.6, 0
1916-09-30, 24.4, 3.3, 0
1916-10-01, 31.7, 3.3, 0
1916-10-02, 13.3, 1.7, 1
1916-10-03, 11.1, 2.2, 1
1916-10-04, 22.2, 1.7, 0
1916-10-05, 3.9, 2.2, 0
1916-10-06, 18.3, 0.6, 0
1916-10-07, 22.8, 4.4, 0.3
1916-10-08, 4.4, 0.6, 4.1
1916-10-09, 3.3, 1.1, 0.5
1916-10-10, 8.3, 1.1, 0
1916-10-11, 17.2, 2.2, 0
1916-10-12, 22.2, 7.2, 0
1916-10-13, 16.7, 2.2, 0
1916-10-14, 25.6, 2.8, 0
