"date", "max_temperature", "min_temperature", "precipitation", "snowfall", "snowdepth", "snowdepth_water_equiv"
1949-01-01, 4.4, -5.6, 0, 0, 51, NA
1949-01-02, -3.9, -17.8, 0, 0, 51, NA
1949-01-03, -18.3, -20, 0, 0, 51, NA
1949-01-04, -14.4, -18.3, 0.8, 76, 102, NA
1949-01-05, -0.6, -14.4, 0.3, 25, 152, NA
1949-01-06, 8.9, -5.6, 0, 0, 152, NA
1949-01-07, 12.2, -1.1, 0, 0, 152, NA
1949-01-08, 2.2, -18.9, 0, 0, 152, NA
1949-01-09, -18.9, -21.7, 0.3, 13, 152, NA
1949-01-10, -19.4, -22.2, 3, 36, 178, NA
1949-01-11, -14.4, -20, 0.5, 5, 203, NA
1949-01-12, 3.9, -14.4, 0, 0, 178, NA
1949-01-13, 6.7, -6.1, 0, 0, 152, NA
1949-01-14, 8.9, -4.4, 0, 0, 152, NA
1949-01-15, -0.6, -10.6, 0, 15, 152, NA
1949-01-16, -10.6, -19.4, 0, 0, 178, NA
1949-01-17, -4.4, -23.3, 1.3, 51, 152, NA
1949-01-18, -3.3, -20, 0, 0, 203, NA
1949-01-19, -18.3, -26.1, 0, 0, 203, NA
1949-01-20, -23.9, -28.3, 0.3, 28, 229, NA
1949-01-21, -17.8, -31.7, 0, 0, 229, NA
1949-01-22, -21.1, -24.4, 0, 0, 229, NA
1949-01-23, -21.1, -24.4, 2.3, 23, 254, NA
1949-01-24, -22.2, -27.8, 0, 0, 254, NA
1949-01-25, -18.3, -26.7, 0, 0, 254, NA
1949-01-26, -1.7, -24.4, 0, 0, 254, NA
1949-01-27, -7.2, -16.7, 2.5, 25, 254, NA
1949-01-28, -13.3, -18.9, 0, 0, 279, NA
1949-01-29, -8.9, -26.1, 0, 0, 279, NA
1949-01-30, -1.7, -9.4, 0, 0, 279, NA
1949-01-31, -5, -15.6, 1, 10, 279, NA
1949-02-01, -14.4, -21.7, 0, 0, 279, NA
1949-02-02, -9.4, -20, 0, 0, 279, NA
1949-02-03, -8.9, -21.1, 0, 0, 279, NA
