index,variable_name,long_name,standard_name,units,scale,offset,cell_methods
ACMC,mean_midnight_to_midnight_mean_cloudiness_automated,Average cloudiness midnight to midnight from 30-second ceilometer data,cloud_area_fraction,percent,1,0,time:mean
ACMH,mean_midnight_to_midnight_mean_cloudiness_manual,Average cloudiness midnight to midnight from manual observations,cloud_area_fraction,percent,1,0,time:mean
ACSC,mean_sunrise_to_sunset_mean_cloudiness_automated,Average cloudiness sunrise to sunset from 30-second ceilometer data,cloud_area_fraction,percent,1,0,time:mean
ACSH,mean_sunrise_to_sunset_mean_cloudiness_manual,Average cloudiness sunrise to sunset from manual observations,cloud_area_fraction,percent,1,0,time:mean
ADPT,dew_point_temperature,2-m Average Daily Dew Point Temperature,dew_point_temperature,degC,0.1,0,time:mean
ASLP,air_pressure_at_sea_level,Mean Daily Pressure Reduced to Mean Sea Level,air_pressure_at_sea_level,degC,0.1,0,time:mean
ASTP,surface_air_pressure,Mean Daily Surface Pressure,surface_air_pressure,degC,0.1,0,time:mean
AWBT,wet_bulb_temperature,2-m Average Daily Wet Bulb Temperature,wet_bulb_temperature,degC,0.1,0,time:mean
AWDR,mean_wind_from_direction,Mean Daily Wind Origin Direction,wind_from_direction,degrees_from,1,0,time:mean
AWND,mean_wind_speed,Mean Daily Wind Speed,wind_speed,m s-1,0.1,0,time:mean
DAEV,length_mutiday_water_potential_evaporation_amount,Number of days included in the multiday evaporation total,,days,1,0,time:sum
DAPR,length_multiday_precipitation_amount,Number of days included in the multiday precipiation total,,days,1,0,time:sum
DASF,length_multiday_thickness_of_snowfall_amount,Number of days included in the multiday snowfall total,,days,1,0,time:sum
DATN,length_multiday_minimum_air_temperature,Number of days included in the multiday minimum temperature ,,days,1,0,time:sum
DATX,length_multiday_maximum_air_temperature,Number of days included in the multiday maximum temperature ,,days,1,0,time:sum
DAWM,length_multiday_wind_movement,Number of days included in the multiday wind movement,,days,1,0,time:sum
DWPR,length_days_with_non_zero_preciputation_in_multiday_precip_report,Number of days with non-zero precipitation included in multiday precipitation total,,days,1,0,time:sum
EVAP,water_potential_evaporation_amount,Total Daily Measured Pan Evaporation,water_potential_evaporation_amount,kg m-2,0.1,0,time:sum
FMTM,time_of_fastest_mile_or_one_minute_wind,Time of fastest mile or fastest 1-minute wind,,,,,time:maximum
FRGB,depth_at_base_of_frozen_ground,Base of frozen ground layer,,cm,1,0,time:point
FRGT,depth_at_base_of_unfrozen_ground,Top of frozen ground layer,depth_at_base_of_unfrozen_ground,cm,1,0,time:point
FRTH,thickness_of_frozen_ground,Thickness of frozen ground layer,,cm,1,0,time:point
GAHT,river_and_gage_height_difference,Difference between river and gauge height,,cm,1,0,time:point
MDEV,mutiday_water_potential_evaporation_amount,Multiday evaporation total,water_potential_evaporation_amount,kg m-2,0.1,0,time:sum
MDPR,multiday_precipitation_amount,Multiday precipitation total,precipitation_amount,kg m-2,0.1,0,time:sum
MDSF,multiday_thickness_of_snowfall_amount,Multiday snowfall total,thickness_of_snowfall_amount,m,0.001,0,time:sum
MDTN,multiday_minimum_air_temperature,Multiday minimum temperature,air_temperature,degC,0.1,0,time:minimum
MDTX,multiday_maximum_air_temperature,Multiday maximum  temperature,air_temperature,degC,0.1,0,time:maximum
MDWM,multiday_wind_movement,Multiday wind movement,,km,1,0,time:sum
MNPN,minumum_water_temperature_in_evap_pan,Daily minimum temperature of water in an evaporation pan,,degC,0.1,0,time:minimum
MXPN,maximum_water_temperature_in_evap_pan,Daily maximum temperature of water in an evaporation pan,,degC,0.1,0,time:maximum
PGTM,time_of_peak_guest,Peak gust time,,,,,time:maximum
PRCP,precipitation_amount,Daily Total Precipitation,precipitation_amount,kg m-2,0.1,0,time:sum
PSUN,percent_of_possible_sunshine,Percent of Potential Sunshine,,percent,1,0,time:sum
RHAV,mean_relative_humidity,2-m Average Daily Relative Humidity,relative_humidity,percent,1,0,time:mean
RHMN,min_relative_humidity,2-m Minimum Daily Relative Humidity,relative_humidity,percent,1,0,time:minimum
RHMX,max_relative_humidity,2-m Maximum Daily Relative Humidity,relative_humidity,percent,1,0,time:maximum
SNOW,thickness_of_snowfall_amount,Daily Total Snowfall,thickness_of_snowfall_amount,m,0.001,0,time:sum
SNWD,surface_snow_thickness,Snow Depth on Surface,surface_snow_thickness,m,0.001,0,time:point
TAVG,mean_air_temperature,2-m Mean Daily Air Temperature,air_temperature,degC,0.1,0,time:mean
TAXN,mean_estimated_air_temperature,2-m Mean Calculated Daily Air Temperature,air_temperature,degC,0.1,0,time:mean
TMAX,maximum_air_temperature,2-m Maximum Daily Air Temperature,air_temperature,degC,0.1,0,time:maximum
TMIN,minimum_air_temperature,2-m Minimium Daily Air Temperature,air_temperature,degC,0.1,0,time:minimum
TOBS,air_temperature_at_observation_time,Air Temperature at Observation Time,air_temperature,degC,0.1,0,time:minimum
TSUN,duration_of_sunshine,Duration of Sunshine,duration_of_sunshine,minutes,1,0,time:sum
WESD,liquid_water_content_of_surface_snow,Liquid Snow Water Equivalent Depth on Surface,liquid_water_content_of_surface_snow,kg m-2,0.1,0,time:point
WESF,liquid_water_equivalent_snowfall_amount,Liquid Snowfall Water Equivalent Depth on Surface,liquid_water_equivalent_snowfall_amount,kg m-2,0.1,0,time:sum
