date," ""temperature_degC"""," ""dewpoint_degC"""," ""cloud_fraction"""," ""press_msl_hPa"""," ""wind_spd_ms"""," ""wind_dir_degrees"""
1/1/10 00:00,-12.2,-16.1,1,1029.8,0,0
1/1/10 01:00,-12.84210526,-15.68421053,0.875,1029.626667,1.731578947,120
1/1/10 02:00,-13.00566038,-15.99245283,1,1029.76,3.069811321,129.6226415
1/1/10 03:00,-13.3,-15.6,1,1029.5,1.5,110
1/1/10 04:00,-13.3,-16.1,1,1029.533333,2.6,140
1/1/10 05:00,-13.38,-16.1,1,1029.153333,2.666666667,134.6666667
1/1/10 06:00,-13.9,-16.1,1,1029.5,3.1,100
1/1/10 07:00,-13.38,-16.18,1,1030.306667,2.733333333,71.33333333
1/1/10 08:00,-14.12666667,-16.76666667,1,1031.08,3.466666667,77.33333333
1/1/10 09:00,-15.6,-17.2,1,1031.6,2.6,60
1/1/10 10:00,-16.47894737,-18.17368421,1,1032.893333,3.521052632,54.21052632
1/1/10 11:00,-16.7,-18.96666667,1,1033.513333,1.5,38.66666667
1/1/10 12:00,-16.7,-19.4,1,1033.6,1.5,30
1/1/10 13:00,-16.7,-19.4,1,1034.573333,1.646666667,36.66666667
1/1/10 14:00,-16.76666667,-19.48,1,1035.766667,2.6,82.66666667
1/1/10 15:00,-17.2,-20,1,1036.2,2.6,100
1/1/10 16:00,-17.13333333,-19.4,1,1036.766667,3.166666667,121.3333333
1/1/10 17:00,-16.81428571,-19.24761905,1,1037.146667,3.79047619,133.8095238
1/1/10 18:00,-16.7,-19.4,0.75,1036.8,4.1,140
1/1/10 19:00,-15.37333333,-18.15333333,0.333333333,1035.813333,4.166666667,152.6666667
1/1/10 20:00,-13.94210526,-17.11578947,0.717105263,1034.533333,5.063157895,170
1/1/10 21:00,-13.3,-16.7,0.25,1034.1,5.1,160
1/1/10 22:00,-12.86666667,-16.76666667,0.933333333,1033.686667,7.133333333,158.6666667
1/1/10 23:00,-13.38,-17.2,0.566666667,1033.573333,6.833333333,151.3333333
1/2/10 00:00,-13.9,-17.2,1,1033.4,7.7,160
1/2/10 01:00,-13.96666667,-17.28,1,1032.933333,7.413333333,160
1/2/10 02:00,-14.48,-17.8,0.983333333,1032.366667,8.52,158.6666667
1/2/10 03:00,-15,-17.8,0.75,1031.5,6.7,150
1/2/10 04:00,-16.18,-18.38,0,1030.693333,5.986666667,151.3333333
1/2/10 05:00,-16.76666667,-18.96666667,0,1029.826667,4.6,158.6666667
1/2/10 06:00,-17.2,-19.4,0,1028.7,4.6,150
1/2/10 07:00,-17.2,-19.4,0,1027.666667,4.1,141.3333333
1/2/10 08:00,-17.2,-19.4,0,1026.666667,4.38,151.3333333
1/2/10 09:00,-17.2,-19.4,0,1025.8,6.2,160
1/2/10 10:00,-17.65333333,-19.85333333,0,1024.713333,3.9,133.3333333
1/2/10 11:00,-16.55333333,-18.75333333,0.066666667,1023.366667,2.8,98
1/2/10 12:00,-15.6,-17.8,0.5,1022.5,4.1,150
1/2/10 13:00,-15.44,-17.57333333,1,1021.626667,3.166666667,111.3333333
1/2/10 14:00,-14.48,-16.24666667,0.866666667,1021.946667,3.6,152
1/2/10 15:00,-15,-17.2,0,1022.9,3.6,360
1/2/10 16:00,-13.9,-16.62,0.825,1023.52,3.88,55.33333333
1/2/10 17:00,-13.67333333,-16.03333333,0.5,1024.206667,5.553333333,351.3333333
1/2/10 18:00,-12.2,-15.6,0.5,1023.6,4.6,360
1/2/10 19:00,-12.05333333,-15,0.033333333,1023.526667,3.753333333,322
1/2/10 20:00,-10.87333333,-14.85333333,0.216666667,1022.413333,1.3,121.3333333
1/2/10 21:00,-9.4,-13.9,0,1022.5,0,0
1/2/10 22:00,-9.92,-13.82,0.133333333,1023.5,1.58,156
1/2/10 23:00,-9.626666667,-13.44666667,0.866666667,1023.526667,1.82,112.6666667
1/3/10 00:00,-11.1,-14.4,0,1023.7,0,0
1/3/10 01:00,-12.34666667,-15.08,0,1024.493333,1.5,97.33333333
1/3/10 02:00,-13.38,-15.66666667,0,1025.166667,1.3,69.33333333
1/3/10 03:00,-13.9,-16.1,0,1025.6,0,0
1/3/10 04:00,-14.77333333,-17.57333333,0.133333333,1026.226667,0,0
1/3/10 05:00,-13.15333333,-15.95333333,1,1026.4,0,0
1/3/10 06:00,-12.2,-15,1,1026.4,0,0
1/3/10 07:00,-11.1,-13.9,0.866666667,1026.206667,0,0
1/3/10 08:00,-11.1,-13.9,0,1025.64,0,0
1/3/10 09:00,-11.1,-13.9,0,1025.9,0,0
1/3/10 10:00,-10.66666667,-13.38,0.133333333,1026.626667,0.2,21.33333333
1/3/10 11:00,-10.80666667,-13.60666667,0.983333333,1026.88,2.473333333,140
1/3/10 12:00,-8.9,-11.7,0.75,1027.4,8.7,10
1/3/10 13:00,-7.861538462,-10,1,1028.246667,7.238461538,252.3076923
1/3/10 14:00,-7.123809524,-9.247619048,1,1029.36,5.7,226.6666667
1/3/10 15:00,-7.2,-9.4,1,1030.4,5.7,10
1/3/10 16:00,-7.133333333,-8.966666667,1,1031.68,1.5,14
1/3/10 17:00,-6.7,-9.4,1,1032.173333,1.5,82.66666667
1/3/10 18:00,-6.7,-9.4,1,1032,1.5,360
1/3/10 19:00,-6.62,-8.9,1,1031.706667,2.02,11.33333333
1/3/10 20:00,-6.18,-8.966666667,1,1031.153333,1.646666667,20
1/3/10 21:00,-6.7,-9.4,1,1031.5,2.6,20
1/3/10 22:00,-6.766666667,-9.4,1,1031.88,2.3,20
1/3/10 23:00,-7.536842105,-10.07368421,1,1032.533333,4.231578947,20
1/4/10 00:00,-8.9,-11.1,1,1033.4,4.6,20
1/4/10 01:00,-9.133333333,-11.9,1,1033.253333,3.1,246.6666667
1/4/10 02:00,-10,-12.2,1,1033.626667,4.033333333,12.66666667
1/4/10 03:00,-10,-12.2,1,1033.8,3.6,30
1/4/10 04:00,-10,-12.16190476,1,1033.6,2.104761905,16.19047619
1/4/10 05:00,-10,-11.0862069,1,1033.586441,0,0
1/4/10 06:00,-10,-11.1,1,1033.5,0,0
1/4/10 07:00,-10,-11.0862069,1,1033.033333,0.206896552,17.93103448
1/4/10 08:00,-10,-11,1,1032.613333,1.5,125
1/4/10 09:00,-9,-11,1,1032.7,0,0
1/4/10 10:00,-9.4,-11.18,1,1032.686667,0,0
1/4/10 11:00,-9.4,-11.7,1,1032.626667,0,0
1/4/10 12:00,-9.4,-11.7,1,1032.8,0,0
1/4/10 13:00,-9.4,-11.1,1,1033.04,1.5,132.6666667
1/4/10 14:00,-9.4,-11.1,1,1033.286667,1.5,150
1/4/10 15:00,-9.4,-11.1,1,1033.2,1.5,150
1/4/10 16:00,-8.9,-11.03333333,1,1033.426667,1.5,125.3333333
1/4/10 17:00,-8.42,-10.81333333,1,1033.533333,1.82,165.3333333
1/4/10 18:00,-8.3,-10.6,1,1033.1,2.1,170
1/4/10 19:00,-8,-10,1,1031.993333,2.158823529,188.8235294
1/4/10 20:00,-7.72,-9.92,1,1031.273333,2.1,160
1/4/10 21:00,-7.2,-9.4,1,1031.1,2.1,160
1/4/10 22:00,-7.504761905,-9.247619048,1,1031.2,2.180952381,170
1/4/10 23:00,-7.368421053,-9.315789474,1,1031.173333,1.731578947,162.1052632
1/5/10 00:00,-7.8,-9.4,1,1031,3.1,160
