"date", "data_product_code", "temperature", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr"
1973-01-01 00:00:00, "SY-SA", -3.3, -7.8, 0.875, 1020.8, 6.7, 330, 0
1973-01-01 01:00:00, "SAO  ", -2, -8, 0.875, 1021.5, 6.1, 330, 0
1973-01-01 02:00:00, "SAO  ", -3, -8, 0.875, 1022.1, 9.7, 330, 0
1973-01-01 03:00:00, "SAO  ", -3.3, -8.3, 0.5, 1023.2, 9.3, 330, 0
1973-01-01 04:00:00, "SAO  ", -4, -8, 0.25, 1024, 9.2, 330, 0
1973-01-01 05:00:00, "SAO  ", -4, -9, 0.25, 1025, 7.2, 330, 0
1973-01-01 06:00:00, "SY-SA", -5.6, -9.4, 0.5, 1025.7, 6.7, 330, 0
1973-01-01 07:00:00, "SAO  ", -7, -9, 0.25, 1026.6, 4.6, 330, 0
1973-01-01 08:00:00, "SAO  ", -8, -12, 0.25, 1027.3, 4.1, 10, 0
1973-01-01 09:00:00, "SAO  ", -8.9, -12.2, 0.25, 1028.1, 4.1, 10, 0
1973-01-01 10:00:00, "SAO  ", -10, -13, 0.25, 1028.5, 1.5, 330, 0
1973-01-01 11:00:00, "SAO  ", -10, -13, 0.25, 1028.7, 2, 40, 0
1973-01-01 12:00:00, "SY-SA", -10, -13.3, 0, 1028.8, 2.1, 210, 0
1973-01-01 13:00:00, "SAO  ", -12, -16, 0.25, 1028.6, 0, 0, 0
1973-01-01 14:00:00, "SAO  ", -11, -14, 0, 1028.4, 0, 0, 0
1973-01-01 15:00:00, "SAO  ", -10.6, -14.4, 0, 1029, 0, 0, 0
1973-01-01 16:00:00, "SAO  ", -8, -11, 0, 1028.9, 0, 0, 0
1973-01-01 17:00:00, "SAO  ", -6, -9, 0, 1028.5, 0, 0, 0
1973-01-01 18:00:00, "SY-SA", -3.9, -7.8, 0, 1027.1, 2.6, 150, 0
1973-01-01 19:00:00, "SAO  ", -2, -8, 0, 1026, 3.6, 150, 0
1973-01-01 20:00:00, "SAO  ", -1, -9, 0, 1024.8, 5.1, 90, 0
1973-01-01 21:00:00, "SAO  ", 1.1, -10.6, 0, 1024, 4.6, 110, 0
1973-01-01 22:00:00, "SAO  ", 1, -9, 0, 1023.3, 4.6, 90, 0
1973-01-01 23:00:00, "SAO  ", -1, -9, 0, 1023.1, 3, 90, 0
1973-01-02 00:00:00, "SY-SA", -3.3, -12.2, 0, 1022.6, 2.6, 120, 0
1973-01-02 01:00:00, "SAO  ", -6, -13, 0, 1022.8, 2, 90, 0
1973-01-02 02:00:00, "SAO  ", -6, -13, 0, 1021.7, 2, 150, 0
1973-01-02 03:00:00, "SAO  ", -7.8, -13.9, 0, 1021, 2.1, 90, 0
1973-01-02 04:00:00, "SAO  ", -9, -14, 0, 1019.8, 1.5, 90, 0
1973-01-02 05:00:00, "SAO  ", -8, -14, 0, 1018.4, 1.5, 90, 0
1973-01-02 06:00:00, "SY-SA", -10, -15, 0, 1018.1, 3.6, 10, 0
1973-01-02 07:00:00, "SAO  ", -9, -9, 0, 1016.8, 1.5, 30, 0
1973-01-02 08:00:00, "SAO  ", -8, -14, 0, 1015.4, 1.5, 170, 0
1973-01-02 09:00:00, "SAO  ", -7.2, -15, 0, 1014, 0, 0, 0
1973-01-02 10:00:00, "SAO  ", -8, -15, 0, 1013.1, 2, 90, 0
1973-01-02 11:00:00, "SAO  ", -7, -14, 0, 1012.3, 1.5, 30, 0
1973-01-02 12:00:00, "SY-SA", -7.2, -15, 0, 1012.2, 1.5, 150, 0
1973-01-02 13:00:00, "SAO  ", -7, -14, 0, 1012.1, 2.5, 130, 0
1973-01-02 14:00:00, "SAO  ", -9, -14, 0, 1012.1, 1.5, 30, 0
1973-01-02 15:00:00, "SAO  ", -6.7, -13.3, 0.25, 1011.6, 1.5, 60, 0
1973-01-02 16:00:00, "SAO  ", -4, -12, 0.25, 1011.4, 1.5, 90, 0
1973-01-02 17:00:00, "SAO  ", 0, -7, 0.25, 1010.3, 1.5, 140, 0
1973-01-02 18:00:00, "SY-SA", 3.3, -6.7, 0.75, 1008.9, 4.6, 150, 0
1973-01-02 19:00:00, "SAO  ", 7, -7, 0.875, 1006.9, 4.6, 150, 0
1973-01-02 20:00:00, "SAO  ", 9, -8, 0.25, 1005.1, 5.6, 150, 0
1973-01-02 21:00:00, "SAO  ", 10, -7.8, 0.5, 1004.5, 5.2, 140, 0
1973-01-02 22:00:00, "SAO  ", 9, -7, 0.875, 1004.4, 4.1, 150, 0
1973-01-02 23:00:00, "SAO  ", 4, -7, 0.875, 1004.5, 3.6, 90, 0
1973-01-03 00:00:00, "SY-SA", 2.2, -8.3, 0.25, 1004.8, 2.6, 30, 0
1973-01-03 01:00:00, "SAO  ", 1, -7, 0.25, 1005.5, 11.8, 330, 0
1973-01-03 02:00:00, "SAO  ", 2, -6, 0.25, 1006.3, 11.8, 330, 0
1973-01-03 03:00:00, "SAO  ", 2.8, -5.6, 0.75, 1007.1, 10.3, 330, 0
1973-01-03 04:00:00, "SAO  ", 2, -5, 0.875, 1008, 9.2, 330, 0
1973-01-03 05:00:00, "SAO  ", 2, -5, 1, 1007.8, 10.8, 330, 0
1973-01-03 06:00:00, "SY-SA", 1.1, -5, 1, 1008.2, 10.8, 330, 0
1973-01-03 07:00:00, "SAO  ", -1, -5, 1, 1008.9, 8.2, 330, 0
1973-01-03 08:00:00, "SAO  ", -6, -9, 1, 1010.3, 10.3, 360, 3
1973-01-03 09:00:00, "SAO  ", -8.9, -12.8, 1, 1012.8, 9.3, 330, 0
1973-01-03 10:00:00, "SAO  ", -9, -14, 1, 1013.5, 10.3, 330, 0
1973-01-03 11:00:00, "SAO  ", -10, -14, 1, 1014.9, 12.3, 330, 0
1973-01-03 12:00:00, "SY-SA", -11.7, -16.7, 1, 1017, 13.9, 330, 0
1973-01-03 13:00:00, "SAO  ", -13, -17, 1, 1017.2, 14.4, 350, 3
1973-01-03 13:31:00, "SAOSP", NA, NA, 1, NA, 13.4, 340, NA
1973-01-03 14:00:00, "SAO  ", -13, -17, 1, 1018.6, 13.9, 340, 0
1973-01-03 15:00:00, "SAO  ", -14.4, -21.1, 1, 1020.4, 11.3, 340, 0
1973-01-03 16:00:00, "SAO  ", -15, -23, 1, 1020.6, 12.3, 330, 0
1973-01-03 17:00:00, "SAO  ", -14, -23, 1, 1021.1, 12.8, 330, 0
1973-01-03 18:00:00, "SY-SA", -14.4, -23.9, 1, 1021.2, 12.9, 330, 0
1973-01-03 20:00:00, "SAO  ", -15, -25, 1, 1021.1, 12.8, 340, 0
1973-01-03 21:00:00, "SAO  ", -15, -25, 1, 1022.3, 10.8, 340, 0
1973-01-03 22:00:00, "SAO  ", -16, -26, 1, 1022.8, 13.4, 350, 0
1973-01-03 23:00:00, "SAO  ", -16, -26, 1, 1024, 12.8, 340, 0
1973-01-04 00:00:00, "SY-SA", -16.7, -26.7, 1, 1024.3, 13.4, 340, 0
1973-01-04 01:00:00, "SAO  ", -17, -26, 1, 1025.5, 11.3, 10, 0
1973-01-04 02:00:00, "SAO  ", -18, -26, 1, 1026.4, 11.3, 360, 0
1973-01-04 03:00:00, "SAO  ", -18.3, -26.7, 1, 1027.1, 12.4, 350, 0
1973-01-04 04:00:00, "SAO  ", -18, -26, 1, 1027.9, 8.7, 340, 0
1973-01-04 05:00:00, "SAO  ", -18, -26, 1, 1028.1, 12.3, 330, 0
1973-01-04 06:00:00, "SAO  ", -18.3, -26.1, 1, 1028.1, 11.3, 340, 0
1973-01-04 07:00:00, "SAO  ", -19, -27, 1, 1028.2, 10.3, 330, 0
1973-01-04 08:00:00, "SAO  ", -18, -26, 1, 1028.2, 12.8, 330, 3
1973-01-04 09:00:00, "SAO  ", -18.9, -26.1, 1, 1028.4, 10.3, 330, 0
1973-01-04 10:00:00, "SAO  ", -19, -27, 1, 1028.4, 7.2, 360, 0
1973-01-04 11:00:00, "SAO  ", -19, -27, 1, 1028.6, 6.1, 330, 0
1973-01-04 12:00:00, "SY-SA", -18.9, -25.6, 1, 1028.4, 6.2, 330, 0
1973-01-04 13:00:00, "SAO  ", -21, -27, NA, 1028.9, 6.1, 10, 0
1973-01-04 14:00:00, "SAO  ", -19, -27, NA, 1029.1, 5.1, 330, 0
1973-01-04 15:00:00, "SAO  ", -21.1, -28.9, 0.125, 1029.6, 4.1, 350, 0
1973-01-04 16:00:00, "SAO  ", -18, -28, 0, 1029.6, 4.1, 330, 0
1973-01-04 17:00:00, "SAO  ", -17, -26, 0, 1029.2, 1.5, 270, 0
1973-01-04 18:00:00, "SY-SA", -16.7, -25, NA, 1028.5, 4.6, 170, 0
1973-01-04 19:00:00, "SAO  ", -16, -25, 0.25, 1026.6, 3.6, 210, 0
1973-01-04 20:00:00, "SAO  ", -15, -24, 0.25, 1025.4, 5.1, 150, 0
1973-01-04 21:00:00, "SAO  ", -14.4, -24.4, 0.25, 1024.6, 6.2, 200, 0
1973-01-04 22:00:00, "SAO  ", -14, -24, 0.25, 1024.1, 4.6, 150, 0
1973-01-04 23:00:00, "SAO  ", -16, -25, 0, 1024.4, 5.1, 180, 0
1973-01-05 00:00:00, "SY-SA", -18.3, -25.6, NA, 1024.6, 2.1, 150, 0
1973-01-05 01:00:00, "SAO  ", -19, -26, 0, 1025, 2.5, 150, 0
1973-01-05 02:00:00, "SAO  ", -20, -27, 0, 1024.1, 1.5, 160, 0
1973-01-05 03:00:00, "SAO  ", -20.6, -28.9, 0, 1024.3, 1.5, 30, 0
1973-01-05 04:00:00, "SAO  ", -21, -27, 0, 1023.9, 1.5, 130, 0
1973-01-05 05:00:00, "SAO  ", -21, -28, 0, 1023.4, 3, 150, 0
1973-01-05 06:00:00, "SY-SA", -21.7, -28.3, 0, 1023, 2.1, 90, 0
1973-01-05 07:00:00, "SAO  ", -22, -28, 0, 1022, 0, 0, 0
1973-01-05 08:00:00, "SAO  ", -23, -29, 0, 1022.3, 0, 0, 0
1973-01-05 09:00:00, "SAO  ", -22.8, -30, 0, 1022.5, 0, 0, 0
1973-01-05 10:00:00, "SAO  ", -21, -28, 0, 1022.4, 1.5, 330, 0
1973-01-05 11:00:00, "SAO  ", -23, -31, 0, 1022.8, 0, 0, 0
1973-01-05 12:00:00, "SY-SA", -22.8, -30, 0, 1022.7, 3.1, 310, 0
1973-01-05 13:00:00, "SAO  ", -19, -27, 0, 1022.6, 4.1, 300, 0
1973-01-05 14:00:00, "SAO  ", -17, -19, 0, 1022.5, 4.1, 320, 0
1973-01-05 15:00:00, "SAO  ", -13.9, -22.2, 0.75, 1022.6, 3.6, 300, 0
1973-01-05 16:00:00, "SAO  ", -10, -19, 0.875, 1023.6, 3.6, 330, 0
1973-01-05 17:00:00, "SAO  ", -10, -21, 0.875, 1024.1, 2, 150, 0
1973-01-05 18:00:00, "SY-SA", -11.1, -19.4, 0.875, 1024.5, 2.1, 120, 0
1973-01-05 19:00:00, "SAO  ", -9, -18, 0.875, 1023.7, 3, 130, 0
1973-01-05 20:00:00, "SAO  ", -8, -17, 0.875, 1023.3, 3, 140, 0
1973-01-05 21:00:00, "SAO  ", -7.8, -17.2, 0.75, 1023.6, 3.6, 140, 0
1973-01-05 22:00:00, "SAO  ", -8, -18, 0.25, 1024, 2.5, 140, 0
1973-01-05 23:00:00, "SAO  ", -9, -19, 0.25, 1025.2, 2, 90, 0
1973-01-06 00:00:00, "SY-SA", -10.6, -20, 0.25, 1026.1, 1.5, 90, 0
1973-01-06 01:00:00, "SAO  ", -13, -21, 0.25, 1026.6, 1.5, 90, 0
1973-01-06 02:00:00, "SAO  ", -12, -21, 0.25, 1026.9, 1.5, 70, 0
