"date", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr", "ISD_precip_03hr", "ISD_precip_06hr", "ISD_precip_12hr", "ISD_precip_24hr"
2010-01-01 00:00:00, -16.1, 1, 1029.8, 0, 0, NA, NA, 20, NA, NA
2010-01-01 00:52:00, -15.6, 0.875, 1029.6, 1.5, 120, 0, NA, NA, NA, NA
2010-01-01 01:30:00, -16, 0.875, NA, 2.6, 120, 3, NA, NA, NA, NA
2010-01-01 01:52:00, -15.6, 1, 1029.8, 3.1, 130, 0, NA, NA, NA, NA
2010-01-01 01:59:00, -16, 1, NA, 3.1, 130, NA, NA, NA, NA, NA
2010-01-01 02:52:00, -15.6, 1, 1029.5, 1.5, 110, 0, NA, NA, NA, NA
2010-01-01 03:00:00, -15.6, 1, 1029.5, 1.5, 110, NA, 5, NA, NA, NA
2010-01-01 03:27:00, -16, 1, NA, 3.1, 140, 3, NA, NA, NA, NA
2010-01-01 03:52:00, -16.1, 1, 1029.6, 2.6, 140, 0, NA, NA, NA, NA
2010-01-01 04:52:00, -16.1, 1, 1029.1, 2.6, 140, 0, NA, NA, NA, NA
2010-01-01 05:52:00, -16.1, 1, 1029.5, 3.1, 100, 0, NA, NA, NA, NA
2010-01-01 06:00:00, -16.1, 1, 1029.5, 3.1, 100, NA, NA, 8, NA, NA
2010-01-01 06:52:00, -16.1, 1, 1030.2, 2.6, 70, 0, NA, NA, NA, NA
2010-01-01 06:59:00, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0
2010-01-01 06:59:00, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
2010-01-01 07:52:00, -16.7, 1, 1031, 3.6, 80, 0, NA, NA, NA, NA
2010-01-01 08:52:00, -17.2, 1, 1031.6, 2.6, 60, 0, NA, NA, NA, NA
2010-01-01 09:00:00, -17.2, 1, 1031.6, 2.6, 60, NA, 20, NA, NA, NA
2010-01-01 09:29:00, -18, 1, NA, 3.6, 50, NA, NA, NA, NA, NA
2010-01-01 09:52:00, -18.3, 1, 1032.8, 3.1, 50, 0, NA, NA, NA, NA
2010-01-01 10:11:00, -18, 1, NA, 4.1, 60, 3, NA, NA, NA, NA
2010-01-01 10:35:00, -19, 1, NA, 3.6, 50, 5, NA, NA, NA, NA
2010-01-01 10:52:00, -18.9, 1, 1033.5, 1.5, 40, 0, NA, NA, NA, NA
2010-01-01 11:52:00, -19.4, 1, 1033.6, 1.5, 30, 0, NA, NA, NA, NA
2010-01-01 12:00:00, -19.4, 1, 1033.6, 1.5, 30, NA, NA, 30, NA, NA
2010-01-01 12:52:00, -19.4, 1, 1034.4, 1.5, 30, 0, NA, NA, NA, NA
2010-01-01 13:52:00, -19.4, 1, 1035.7, 2.6, 80, 0, NA, NA, NA, NA
2010-01-01 14:52:00, -20, 1, 1036.2, 2.6, 100, 0, NA, NA, NA, NA
2010-01-01 15:00:00, -20, 1, 1036.2, 2.6, 100, NA, NA, NA, NA, NA
2010-01-01 15:52:00, -19.4, 1, 1036.7, 3.1, 120, 0, NA, NA, NA, NA
2010-01-01 16:52:00, -19.4, 1, 1037.2, 3.6, 130, 0, NA, NA, NA, NA
2010-01-01 17:13:00, -19, 1, NA, 4.1, 140, NA, NA, NA, NA, NA
2010-01-01 17:29:00, -19, 1, NA, 4.6, 150, 0, NA, NA, NA, NA
2010-01-01 17:35:00, -19, 1, NA, 4.1, 140, 0, NA, NA, NA, NA
2010-01-01 17:52:00, -19.4, 0.875, 1036.8, 4.1, 140, 0, NA, NA, NA, NA
2010-01-01 18:00:00, -19.4, 0.75, 1036.8, 4.1, 140, NA, NA, 0, NA, NA
2010-01-01 18:07:00, -19, 0.875, NA, 4.6, 130, NA, NA, NA, NA, NA
2010-01-01 18:52:00, -18.3, 0.25, 1036, 4.1, 150, 0, NA, NA, NA, NA
2010-01-01 19:52:00, -17.2, 0.875, 1034.6, 4.6, 170, 0, NA, NA, NA, NA
2010-01-01 20:11:00, -17, 0.5, NA, 5.7, 170, NA, NA, NA, NA, NA
2010-01-01 20:52:00, -16.7, 0.25, 1034.1, 5.1, 160, 0, NA, NA, NA, NA
2010-01-01 21:00:00, -16.7, 0.25, 1034.1, 5.1, 160, NA, NA, NA, NA, NA
2010-01-01 21:52:00, -16.7, 1, 1033.7, 7.2, 160, 0, NA, NA, NA, NA
2010-01-01 22:52:00, -17.2, 0.5, 1033.6, 6.7, 150, 0, NA, NA, NA, NA
2010-01-01 23:52:00, -17.2, 1, 1033.4, 7.7, 160, 0, NA, NA, NA, NA
2010-01-02 00:00:00, -17.2, 1, 1033.4, 7.7, 160, NA, NA, 30, NA, NA
2010-01-02 00:52:00, -17.2, 1, 1033, 7.2, 160, 0, NA, NA, NA, NA
2010-01-02 01:52:00, -17.8, 1, 1032.5, 8.8, 160, 0, NA, NA, NA, NA
2010-01-02 02:52:00, -17.8, 0.875, 1031.5, 6.7, 150, 0, NA, NA, NA, NA
2010-01-02 03:00:00, -17.8, 0.75, 1031.5, 6.7, 150, NA, 10, NA, NA, NA
2010-01-02 03:52:00, -18.3, 0, 1030.8, 6.2, 150, 0, NA, NA, NA, NA
2010-01-02 04:52:00, -18.9, 0, 1030, 4.6, 160, 0, NA, NA, NA, NA
2010-01-02 05:52:00, -19.4, 0, 1028.7, 4.6, 150, 0, NA, NA, NA, NA
2010-01-02 06:00:00, -19.4, 0, 1028.7, 4.6, 150, NA, NA, NA, NA, NA
2010-01-02 06:52:00, -19.4, 0, 1027.8, 4.1, 140, 0, NA, NA, NA, NA
2010-01-02 06:59:00, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0
2010-01-02 07:52:00, -19.4, 0, 1026.8, 4.1, 150, 0, NA, NA, NA, NA
2010-01-02 08:52:00, -19.4, 0, 1025.8, 6.2, 160, 0, NA, NA, NA, NA
2010-01-02 09:00:00, -19.4, 0, 1025.8, 6.2, 160, NA, NA, NA, NA, NA
2010-01-02 09:52:00, -20, 0, 1024.9, 4.1, 140, 0, NA, NA, NA, NA
2010-01-02 10:52:00, -18.9, 0, 1023.5, 2.6, 90, 0, NA, NA, NA, NA
2010-01-02 11:52:00, -17.8, 0.5, 1022.5, 4.1, 150, 0, NA, NA, NA, NA
2010-01-02 12:00:00, -17.8, 0.5, 1022.5, 4.1, 150, NA, NA, NA, NA, NA
2010-01-02 12:52:00, -17.8, 1, 1021.6, 3.1, 110, 0, NA, NA, NA, NA
2010-01-02 13:52:00, -16.1, 1, 1021.8, 3.6, 120, 0, NA, NA, NA, NA
2010-01-02 14:52:00, -17.2, 0, 1022.9, 3.6, 360, 0, NA, NA, NA, NA
2010-01-02 15:00:00, -17.2, 0, 1022.9, 3.6, 360, NA, NA, NA, NA, NA
2010-01-02 15:52:00, -16.7, 0.875, 1023.4, 3.6, 10, 0, NA, NA, NA, NA
2010-01-02 16:52:00, -16.1, 0.5, 1024.3, 5.7, 350, 0, NA, NA, NA, NA
2010-01-02 17:52:00, -15.6, 0.5, 1023.6, 4.6, 360, 0, NA, NA, NA, NA
2010-01-02 18:00:00, -15.6, 0.5, 1023.6, 4.6, 360, NA, NA, NA, NA, NA
2010-01-02 18:52:00, -15, 0, 1023.7, 4.1, 350, 0, NA, NA, NA, NA
2010-01-02 19:52:00, -15, 0.25, 1022.4, 1.5, 140, 0, NA, NA, NA, NA
2010-01-02 20:52:00, -13.9, 0, 1022.5, 0, 0, 0, NA, NA, NA, NA
2010-01-02 21:00:00, -13.9, 0, 1022.5, 0, 0, NA, NA, NA, NA, NA
2010-01-02 21:52:00, -13.9, 0, 1023.5, 1.5, 160, 0, NA, NA, NA, NA
2010-01-02 22:52:00, -13.3, 1, 1023.5, 2.1, 130, 0, NA, NA, NA, NA
2010-01-02 23:52:00, -14.4, 0, 1023.7, 0, 0, 0, NA, NA, NA, NA
2010-01-03 00:00:00, -14.4, 0, 1023.7, 0, 0, NA, NA, NA, NA, NA
2010-01-03 00:52:00, -15, 0, 1024.4, 1.5, 100, 0, NA, NA, NA, NA
2010-01-03 01:52:00, -15.6, 0, 1025.1, 1.5, 80, 0, NA, NA, NA, NA
2010-01-03 02:52:00, -16.1, 0, 1025.6, 0, 0, 0, NA, NA, NA, NA
2010-01-03 03:00:00, -16.1, 0, 1025.6, 0, 0, NA, NA, NA, NA, NA
2010-01-03 03:52:00, -17.8, 0, 1026.2, 0, 0, 0, NA, NA, NA, NA
2010-01-03 04:52:00, -16.1, 1, 1026.4, 0, 0, 0, NA, NA, NA, NA
2010-01-03 05:52:00, -15, 1, 1026.4, 0, 0, 0, NA, NA, NA, NA
2010-01-03 06:00:00, -15, 1, 1026.4, 0, 0, NA, NA, NA, NA, NA
2010-01-03 06:52:00, -13.9, 1, 1026.3, 0, 0, 0, NA, NA, NA, NA
2010-01-03 06:59:00, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0
2010-01-03 07:52:00, -13.9, 0, 1025.6, 0, 0, 0, NA, NA, NA, NA
2010-01-03 08:52:00, -13.9, 0, 1025.9, 0, 0, 0, NA, NA, NA, NA
2010-01-03 09:00:00, -13.9, 0, 1025.9, 0, 0, NA, NA, NA, NA, NA
2010-01-03 09:52:00, -13.3, 0, 1026.6, 0, 0, 0, NA, NA, NA, NA
2010-01-03 10:52:00, -13.9, 1, 1026.8, 1.5, 160, 0, NA, NA, NA, NA
2010-01-03 11:52:00, -11.7, 0.875, 1027.4, 8.8, 10, 0, NA, NA, NA, NA
2010-01-03 12:00:00, -11.7, 0.75, 1027.4, 8.7, 10, NA, NA, NA, NA, NA
2010-01-03 12:52:00, -10, 1, 1028.1, 7.7, 360, 0, NA, NA, NA, NA
2010-01-03 13:18:00, -10, 1, NA, 6.2, 10, NA, NA, NA, NA, NA
2010-01-03 13:52:00, -9.4, 1, 1029.2, 5.7, 360, 0, NA, NA, NA, NA
2010-01-03 14:13:00, -9, 1, NA, 5.7, 10, NA, NA, NA, NA, NA
2010-01-03 14:49:00, -9, 1, NA, 6.2, 10, NA, NA, NA, NA, NA
2010-01-03 14:52:00, -9.4, 1, 1030.4, 5.7, 10, 0, NA, NA, NA, NA
2010-01-03 14:59:00, -9, 1, NA, 4.1, 10, NA, NA, NA, NA, NA
2010-01-03 15:00:00, -9.4, 1, 1030.4, 5.7, 10, NA, NA, NA, NA, NA
2010-01-03 15:04:00, -9, 1, NA, 3.6, 10, NA, NA, NA, NA, NA
