name,latitude,longitude,elevation,elevationUnit,datacoverage,start_date,end_date,geometry,nc_file,TMAX,TMIN,TAVG,PRCP,SNOW,SNWD,WESD,WESF,AWND,AWDR
"SIOUX FALLS ENVIRON. CANADA, SD US",43.7333,-96.6333,482.0,METERS,0.8965,2008-10-08,2016-01-06,POINT (-96.6333 43.7333),GHCND-US009052008__SIOUX_FALLS_ENVIRON._CANADA_SD_US.nc,1,1,0,1,0,1,0,0,0,0
"PLANKINTON 5.8 S, SD US",43.632009,-98.482755,481.6,METERS,0.7344,2007-06-15,2008-10-23,POINT (-98.482755 43.632009),GHCND-US1SDAR0001__PLANKINTON_5.8_S_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"STICKNEY 0.2 SSE, SD US",43.58629,-98.4356,504.1,METERS,0.2105,2007-06-15,2011-08-12,POINT (-98.4356 43.58629),GHCND-US1SDAR0002__STICKNEY_0.2_SSE_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"WHITE LAKE 10.9 S, SD US",43.571535,-98.742397,494.4,METERS,0.577,2007-09-03,2017-05-28,POINT (-98.742397 43.571535),GHCND-US1SDAR0003__WHITE_LAKE_10.9_S_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"STICKNEY 5.4 SSW, SD US",43.513043,-98.462957,493.5,METERS,0.1439,2011-08-18,2017-10-15,POINT (-98.462957 43.513043),GHCND-US1SDAR0004__STICKNEY_5.4_SSW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"PLANKINTON 3.8 W, SD US",43.714449,-98.559362,477.6,METERS,0.1273,2014-04-21,2024-11-10,POINT (-98.559362 43.714449),GHCND-US1SDAR0007__PLANKINTON_3.8_W_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"STICKNEY 3.8 SW, SD US",43.5532,-98.4946,501.1,METERS,0.3543,2018-04-04,2024-12-11,POINT (-98.4946 43.5532),GHCND-US1SDAR0008__STICKNEY_3.8_SW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"IROQUOIS 10.4 SSW, SD US",44.236639,-97.9544,402.0,METERS,0.1238,2007-06-18,2013-11-06,POINT (-97.9544 44.236639),GHCND-US1SDBD0003__IROQUOIS_10.4_SSW_SD_US.nc,0,0,0,1,1,0,0,1,0,0
"HURON 6.8 NNE, SD US",44.4566774,-98.1740423,400.2,METERS,0.998,2011-03-24,2024-12-10,POINT (-98.1740423 44.4566774),GHCND-US1SDBD0007__HURON_6.8_NNE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"WOLSEY 4.3 WSW, SD US",44.397524,-98.559466,423.7,METERS,0.0715,2011-04-11,2016-04-28,POINT (-98.559466 44.397524),GHCND-US1SDBD0008__WOLSEY_4.3_WSW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"HITCHCOCK 7.5 WSW, SD US",44.582186,-98.5444209,408.1,METERS,0.9915,2011-03-31,2020-08-20,POINT (-98.5444209 44.582186),GHCND-US1SDBD0009__HITCHCOCK_7.5_WSW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"IROQUOIS 5.2 SSW, SD US",44.2963017,-97.8867305,412.7,METERS,0.9289,2011-05-01,2013-10-16,POINT (-97.8867305 44.2963017),GHCND-US1SDBD0010__IROQUOIS_5.2_SSW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"HURON 1.8 S, SD US",44.337579,-98.2212996,391.1,METERS,0.1136,2012-08-27,2024-06-28,POINT (-98.2212996 44.337579),GHCND-US1SDBD0016__HURON_1.8_S_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"HURON 1.3 S, SD US",44.3452982604504,-98.2196905463934,392.3,METERS,0.7761,2015-04-06,2024-09-17,POINT (-98.2196905463934 44.3452982604504),GHCND-US1SDBD0020__HURON_1.3_S_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"WOLSEY 4.0 ENE, SD US",44.4296000897884,-98.3974485844374,408.4,METERS,0.3565,2015-05-19,2016-10-18,POINT (-98.3974485844374 44.4296000897884),GHCND-US1SDBD0021__WOLSEY_4.0_ENE_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"HURON 1.1 NNE, SD US",44.378778,-98.212875,391.7,METERS,0.9591,2018-09-05,2023-04-17,POINT (-98.212875 44.378778),GHCND-US1SDBD0024__HURON_1.1_NNE_SD_US.nc,0,0,0,1,1,0,0,1,0,0
"ALPENA 3.3 N, SD US",44.231248,-98.377163,408.7,METERS,0.6008,2022-04-06,2022-11-29,POINT (-98.377163 44.231248),GHCND-US1SDBD0025__ALPENA_3.3_N_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"GANN VALLEY 7.8 WNW, SD US",44.08,-99.13,499.3,METERS,0.8967,2010-04-02,2019-02-27,POINT (-99.13 44.08),GHCND-US1SDBF0001__GANN_VALLEY_7.8_WNW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"AVON 5.5 SSE, SD US",42.928674,-98.030325,458.1,METERS,0.4891,2007-08-04,2015-09-29,POINT (-98.030325 42.928674),GHCND-US1SDBH0002__AVON_5.5_SSE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"TABOR 7.0 WSW, SD US",42.9194547235966,-97.7932340651751,401.4,METERS,0.729,2012-08-23,2014-10-06,POINT (-97.7932340651751 42.9194547235966),GHCND-US1SDBH0009__TABOR_7.0_WSW_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"TABOR 3.9 S, SD US",42.8909555822611,-97.6549051702023,463.6,METERS,0.0488,2012-09-05,2024-06-20,POINT (-97.6549051702023 42.8909555822611),GHCND-US1SDBH0010__TABOR_3.9_S_SD_US.nc,0,0,0,1,1,1,1,0,0,0
"SPRINGFIELD 7.6 WNW, SD US",42.8946349024773,-98.0326527357101,448.7,METERS,0.2326,2013-09-01,2024-12-10,POINT (-98.0326527357101 42.8946349024773),GHCND-US1SDBH0012__SPRINGFIELD_7.6_WNW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"AVON 7.5 NE, SD US",43.092613,-97.972454,466.6,METERS,0.0585,2018-05-08,2024-08-15,POINT (-97.972454 43.092613),GHCND-US1SDBH0015__AVON_7.5_NE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"AVON 0.4 NE, SD US",43.0094072,-98.0535193,493.2,METERS,0.1946,2021-09-20,2023-07-14,POINT (-98.0535193 43.0094072),GHCND-US1SDBH0017__AVON_0.4_NE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
