total_stations: 259
0.27321232032854215 133.42348418891171
00001:00259; GHCND:CA003022400; EMPRESS, CA
00002:00259; GHCND:CA003030E39; BATTLE CREEK LO, CA
00003:00259; GHCND:CA004010150; AMULET, CA
00004:00259; GHCND:CA004010320; AVONLEA EXPERIMENTAL ST, CA
00005:00259; GHCND:CA004010358; AYLESBURY, CA
00006:00259; GHCND:CA004010360; AYLESBURY CDA EPF, CA
00007:00259; GHCND:CA004010395; BALCARRES, CA
00008:00259; GHCND:CA004010540; BECHARD, CA
00009:00259; GHCND:CA004010568; BELLE PLAINE, CA
00010:00259; GHCND:CA004010811; BRATT S LAKE CLIMATE, CA
00011:00259; GHCND:CA004010840; BRIERCREST, CA
00012:00259; GHCND:CA004010842; BRIERCREST 2, CA
00013:00259; GHCND:CA004010984; BUFFALO POUND LAKE, CA
00014:00259; GHCND:CA004011120; CARDROSS, CA
00015:00259; GHCND:CA004011280; CARON, CA
00016:00259; GHCND:CA004011440; CEYLON, CA
00017:00259; GHCND:CA004011441; CEYLON, CA
00018:00259; GHCND:CA004011580; CLAYBANK, CA
00019:00259; GHCND:CA004011640; CONDIE, CA
00020:00259; GHCND:CA004011980; CUPAR, CA
00021:00259; GHCND:CA004012050; DAHINDA, CA
00022:00259; GHCND:CA004012160; DAVIN, CA
00023:00259; GHCND:CA004012161; DAVIN 2, CA
00024:00259; GHCND:CA004012162; DAVIN 3, CA
00025:00259; GHCND:CA004012163; DAVIN 4, CA
00026:00259; GHCND:CA004012164; DAVIN 5, CA
00027:00259; GHCND:CA004012165; DAVIN 6, CA
00028:00259; GHCND:CA004012166; DAVIN 7, CA
00029:00259; GHCND:CA004012200; DILKE, CA
00030:00259; GHCND:CA004012215; DIRT HILLS, CA
00031:00259; GHCND:CA004012340; EDGELEY, CA
00032:00259; GHCND:CA004012425; ESTLIN, CA
00033:00259; GHCND:CA004012600; FORT QU APPELLE, CA
00034:00259; GHCND:CA004012720; FRANCIS, CA
00035:00259; GHCND:CA004012885; GLASNEVIN, CA
00036:00259; GHCND:CA004012930; GLEN MORAY, CA
00037:00259; GHCND:CA004013108; HARDY, CA
00038:00259; GHCND:CA004013270; HOLDFAST, CA
00039:00259; GHCND:CA004013480; INDIAN HEAD CDA, CA
00040:00259; GHCND:CA004013490; INDIAN HEAD PFRA, CA
00041:00259; GHCND:CA004013770; KHEDIVE, CA
00042:00259; GHCND:CA004014105; KRONAU, CA
00043:00259; GHCND:CA004014136; LAJORD, CA
00044:00259; GHCND:CA004014138; LAKE ALMA, CA
00045:00259; GHCND:CA004014280; LEBRET, CA
00046:00259; GHCND:CA004014480; LIPTON, CA
00047:00259; GHCND:CA004014720; LUMSDEN, CA
00048:00259; GHCND:CA004014721; LUMSDEN 2, CA
