year,month,Date,Deficit,Potential_Evap,Prec_m_PE,Precipitation,Storage,Surplus,Evaporation,Prec_m_Evap,Recharge,Snowpack
1895,1,1895-01-15,0,0,1.3,13.3,150,NA,0,13.3,NA,NA
1895,2,1895-02-15,0,0,2,19.6,150,2,0,19.6,0,17.6
1895,3,1895-03-15,0,0,2.9,29.2,150,2.9,0,29.2,0,26.3
1895,4,1895-04-15,0,56.4,59,58.9,150,59,56.4,2.5,0,0
1895,5,1895-05-15,3.2,76,-37.7,38.3,115.5,0,72.8,-34.5,0,0
1895,6,1895-06-15,0.4,103.9,-2.1,101.9,113.9,0,103.5,-1.5999999999999943,0,0
1895,7,1895-07-15,55.1,137,-119.1,17.9,49.9,0,81.9,-64,0,0
1895,8,1895-08-15,78.7,126.3,-104.3,21.9,24.2,0,47.599999999999994,-25.699999999999996,0,0
1895,9,1895-09-15,63.2,84,-72.8,11.2,14.6,0,20.799999999999997,-9.599999999999998,0,0
1895,10,1895-10-15,22.5,27.3,-24.8,2.5,12.3,0,4.800000000000001,-2.3000000000000007,0,0
1895,11,1895-11-15,0,0,1.8,18.5,14.2,0,0,18.5,1.8999999999999986,16.6
1895,12,1895-12-15,0,0,0.5,5.1,14.7,0,0,5.1,0.5,4.6
1896,1,1896-01-15,0,0,0.7,7,15.4,0,0,7,0.7000000000000011,6.299999999999999
1896,2,1896-02-15,0,0,0.9,9.5,16.3,0,0,9.5,0.9000000000000004,8.6
1896,3,1896-03-15,0,0,3.1,30.8,19.4,0,0,30.8,3.099999999999998,27.700000000000003
1896,4,1896-04-15,0,34.8,101.1,71.8,120.6,0,34.8,37,101.19999999999999,0
1896,5,1896-05-15,18,90.3,-57.8,32.5,80.8,0,72.3,-39.8,0,0
1896,6,1896-06-15,20.3,126.4,-39.8,86.6,61.3,0,106.10000000000001,-19.500000000000014,0,0
1896,7,1896-07-15,50.5,137.5,-75.5,62,36.3,0,87,-25,0,0
1896,8,1896-08-15,90.2,125.2,-109.5,15.7,17,0,35,-19.3,0,0
1896,9,1896-09-15,34.2,65,-38.2,26.8,13.1,0,30.799999999999997,-3.9999999999999964,0,0
1896,10,1896-10-15,8.9,25.5,-9.7,15.8,12.2,0,16.6,-0.8000000000000007,0,0
1896,11,1896-11-15,0,0,3,30.2,15.2,0,0,30.2,3,27.2
1896,12,1896-12-15,0,0,0.3,3,15.5,0,0,3,0.3000000000000007,2.6999999999999993
1897,1,1897-01-15,0,0,3,30,18.5,0,0,30,3,27
1897,2,1897-02-15,0,0,1.5,15.2,20.1,0,0,15.2,1.6000000000000014,13.599999999999998
1897,3,1897-03-15,0,0,5.8,57.5,25.8,0,0,57.5,5.699999999999999,51.8
1897,4,1897-04-15,0,30.4,154.8,61.4,150,30.60000000000001,30.4,31,124.2,0
1897,5,1897-05-15,7.8,79.8,-56.1,23.7,101.7,0,72,-48.3,0,0
1897,6,1897-06-15,25.1,114.4,-59.3,55.1,67.4,0,89.30000000000001,-34.20000000000001,0,0
1897,7,1897-07-15,53.6,145.7,-83.1,62.6,37.9,0,92.1,-29.499999999999993,0,0
1897,8,1897-08-15,53.7,111.5,-67.9,43.6,23.7,0,57.8,-14.199999999999996,0,0
1897,9,1897-09-15,83.4,103.7,-94.8,8.9,12.3,0,20.299999999999997,-11.399999999999997,0,0
1897,10,1897-10-15,15.7,39.3,-17.1,22.2,10.9,0,23.599999999999998,-1.3999999999999986,0,0
1897,11,1897-11-15,0,0,1.5,14.7,12.4,0,0,14.7,1.5,13.2
1897,12,1897-12-15,0,0,1,9.6,13.3,0,0,9.6,0.9000000000000004,8.7
1898,1,1898-01-15,0,0,0.5,4.6,13.8,0,0,4.6,0.5,4.1
1898,2,1898-02-15,0,0,0.4,4,14.2,0,0,4,0.3999999999999986,3.6000000000000014
1898,3,1898-03-15,0,0,1.6,16.5,15.8,0,0,16.5,1.6000000000000014,14.899999999999999
1898,4,1898-04-15,0,33.7,40.7,29.8,56.5,0,33.7,-3.900000000000002,40.7,0
1898,5,1898-05-15,0,68.3,46.5,114.8,103,0,68.3,46.5,46.5,0
1898,6,1898-06-15,49.7,123,-101.9,21.1,50.9,0,73.3,-52.199999999999996,0,0
1898,7,1898-07-15,50.5,142.5,-70.1,72.4,31.3,0,92,-19.599999999999994,0,0
1898,8,1898-08-15,93.7,129.2,-110.4,18.8,14.6,0,35.499999999999986,-16.699999999999985,0,0
1898,9,1898-09-15,61.5,80.8,-66.9,13.9,9.2,0,19.299999999999997,-5.399999999999997,0,0
1898,10,1898-10-15,16.4,23.8,-17.5,6.3,8.1,0,7.400000000000002,-1.1000000000000023,0,0
1898,11,1898-11-15,0,0,0.6,6.3,8.8,0,0,6.3,0.7000000000000011,5.599999999999999
1898,12,1898-12-15,0,0,0.3,3.1,9.1,0,0,3.1,0.29999999999999893,2.800000000000001
1899,1,1899-01-15,0,0,1.1,11,10.2,0,0,11,1.0999999999999996,9.9
1899,2,1899-02-15,0,0,1,9.6,11.1,0,0,9.6,0.9000000000000004,8.7
1899,3,1899-03-15,0,0,4.6,46,15.7,0,0,46,4.6,41.4
1899,4,1899-04-15,0,28.7,69.7,29.6,85.4,0,28.7,0.9000000000000021,69.7,0
1899,5,1899-05-15,0,69.8,44,113.8,129.4,0,69.8,44,44,0
1899,6,1899-06-15,7.5,118.2,-36.2,82,100.7,0,110.7,-28.700000000000003,0,0
1899,7,1899-07-15,50.9,145.5,-101.9,43.6,49.7,0,94.6,-50.99999999999999,0,0
1899,8,1899-08-15,65.7,128.2,-88.4,39.7,26.9,0,62.499999999999986,-22.799999999999983,0,0
1899,9,1899-09-15,60,80.9,-70.4,10.5,16.5,0,20.900000000000006,-10.400000000000006,0,0
1899,10,1899-10-15,6.7,34,-7.5,26.5,15.7,0,27.3,-0.8000000000000007,0,0
1899,11,1899-11-15,4.9,13.1,-5.5,7.6,15.1,0,8.2,-0.5999999999999996,0,0
1899,12,1899-12-15,0,0,0.9,9.3,16,0,0,9.3,0.9000000000000004,8.4
1900,1,1900-01-15,0,0,0.2,1.6,16.2,0,0,1.6,0.1999999999999993,1.4000000000000008
1900,2,1900-02-15,0,0,0.7,6.7,16.9,0,0,6.7,0.6999999999999993,6.000000000000001
1900,3,1900-03-15,0,0,42.8,27,59.6,0,0,27,42.7,0
1900,4,1900-04-15,0,46.9,13,59.9,72.6,0,46.9,13,12.999999999999993,7.105427357601002e-15
1900,5,1900-05-15,47.1,92.5,-77.2,15.4,42.6,0,45.4,-30,0,0
1900,6,1900-06-15,46.6,131.3,-61.3,70,27.8,0,84.70000000000002,-14.700000000000017,0,0
1900,7,1900-07-15,46.9,136,-55.8,80.1,18.9,0,89.1,-9,0,0
1900,8,1900-08-15,50.8,138.7,-57,81.7,12.7,0,87.89999999999999,-6.199999999999989,0,0
1900,9,1900-09-15,18.6,73.5,-20.2,53.2,11.1,0,54.9,-1.6999999999999957,0,0
1900,10,1900-10-15,24.3,41.6,-26.2,15.4,9.2,0,17.3,-1.9000000000000004,0,0
1900,11,1900-11-15,0,0,0.5,5.2,9.8,0,0,5.2,0.6000000000000014,4.599999999999999
1900,12,1900-12-15,0,0,0.4,4.3,10.2,0,0,4.3,0.3999999999999986,3.9000000000000012
1901,1,1901-01-15,0,0,0.2,2.3,10.4,0,0,2.3,0.20000000000000107,2.0999999999999988
1901,2,1901-02-15,0,0,1.1,11.3,11.5,0,0,11.3,1.0999999999999996,10.200000000000001
1901,3,1901-03-15,0,0.9,44.8,24.8,56.4,0,0.9,23.900000000000002,44.9,0
1901,4,1901-04-15,2.4,39.3,-3.9,35.4,54.9,0,36.9,-1.5,0,0
1901,5,1901-05-15,38,87.7,-55.6,32.1,37.3,0,49.7,-17.6,0,0
1901,6,1901-06-15,0,112.4,24.3,136.7,61.6,0,112.4,24.299999999999983,24.300000000000004,0
1901,7,1901-07-15,89.1,168.2,-124.7,43.5,26,0,79.1,-35.599999999999994,0,0
1901,8,1901-08-15,53.3,129,-62.4,66.6,16.8,0,75.7,-9.100000000000009,0,0
1901,9,1901-09-15,8.8,67.5,-9.9,57.6,15.7,0,58.7,-1.1000000000000014,0,0
1901,10,1901-10-15,0,40.3,15.2,55.5,30.9,0,40.3,15.200000000000003,15.2,3.552713678800501e-15
1901,11,1901-11-15,2,5.2,-2.5,2.7,30.4,0,3.2,-0.5,0,0
1901,12,1901-12-15,0,0,1.5,14.6,31.9,0,0,14.6,1.5,13.1
1902,1,1902-01-15,0,0,0.8,8.1,32.7,0,0,8.1,0.8000000000000043,7.299999999999995
1902,2,1902-02-15,0,0,1.6,15.6,34.2,0,0,15.6,1.5,14.1
1902,3,1902-03-15,0,1.2,82.3,48.6,116.5,0,1.2,47.4,82.3,0
1902,4,1902-04-15,0,31.6,7.3,38.9,123.8,0,31.6,7.299999999999997,7.299999999999997,0
1902,5,1902-05-15,12.6,88.5,-46.9,41.5,89.4,0,75.9,-34.400000000000006,0,0
1902,6,1902-06-15,3.7,105.9,-9.2,96.7,83.9,0,102.2,-5.5,0,0
1902,7,1902-07-15,59.2,140.2,-101.6,38.6,41.5,0,80.99999999999999,-42.399999999999984,0,0
1902,8,1902-08-15,31.8,119.6,-42.3,77.3,31,0,87.8,-10.5,0,0
1902,9,1902-09-15,45.5,69.8,-55.3,14.5,21.1,0,24.299999999999997,-9.799999999999997,0,0
1902,10,1902-10-15,22.5,39.5,-26,13.5,17.6,0,17,-3.5,0,0
1902,11,1902-11-15,0,2.8,4.1,6.8,21.7,0,2.8,4,4.099999999999998,0
1902,12,1902-12-15,0,0,3.1,31,24.8,0,0,31,3.1000000000000014,27.9
1903,1,1903-01-15,0,0,0.7,6.7,25.5,0,0,6.7,0.6999999999999993,6.000000000000001
1903,2,1903-02-15,0,0,1.2,11.8,26.6,0,0,11.8,1.1000000000000014,10.7
1903,3,1903-03-15,0,0,2,20.2,28.7,0,0,20.2,2.099999999999998,18.1
1903,4,1903-04-15,0,39,64.5,40.5,93.2,0,39,1.5,64.5,0
1903,5,1903-05-15,7.5,76.6,-19.1,57.6,81.7,0,69.1,-11.499999999999993,0,0
1903,6,1903-06-15,32.1,111.3,-59.8,51.5,53.9,0,79.19999999999999,-27.69999999999999,0,0
1903,7,1903-07-15,33.1,140.1,-48.5,91.7,38.6,0,107,-15.299999999999997,0,0
1903,8,1903-08-15,48.9,120.6,-62.4,58.2,25,0,71.69999999999999,-13.499999999999986,0,0
1903,9,1903-09-15,17,66.1,-20.3,45.8,21.7,0,49.099999999999994,-3.299999999999997,0,0
1903,10,1903-10-15,27.1,43.7,-31.3,12.4,17.5,0,16.6,-4.200000000000001,0,0
1903,11,1903-11-15,0,0,0.8,8,18.3,0,0,8,0.8000000000000007,7.199999999999999
1903,12,1903-12-15,0,0,1.2,12,19.5,0,0,12,1.1999999999999993,10.8
1904,1,1904-01-15,0,0,0.9,9.2,20.4,0,0,9.2,0.8999999999999986,8.3
1904,2,1904-02-15,0,0,1.5,15.1,21.9,0,0,15.1,1.5,13.6
1904,3,1904-03-15,0,0,46.9,6.6,68.8,0,0,6.6,46.9,0
1904,4,1904-04-15,2.7,30.2,-5,25.1,66.4,0,27.5,-2.3999999999999986,0,0
1904,5,1904-05-15,16.7,77.3,-28.7,48.6,54.5,0,60.599999999999994,-11.999999999999993,0,0
1904,6,1904-06-15,20.6,111.2,-31.2,79.9,43.9,0,90.6,-10.699999999999989,0,0
1904,7,1904-07-15,65.5,132,-85,47,24.3,0,66.5,-19.5,0,0
1904,8,1904-08-15,83.6,125,-95.3,29.7,12.6,0,41.400000000000006,-11.700000000000006,0,0
1904,9,1904-09-15,61.7,80.3,-66.3,14,7.9,0,18.599999999999994,-4.599999999999994,0,0
1904,10,1904-10-15,27.1,45.2,-28.5,16.7,6.5,0,18.1,-1.4000000000000021,0,0
1904,11,1904-11-15,8.2,11,-8.6,2.4,6.1,0,2.8000000000000007,-0.4000000000000008,0,0
1904,12,1904-12-15,0,0,1.2,11.8,7.3,0,0,11.8,1.2000000000000002,10.600000000000001
1905,1,1905-01-15,0,0,1.4,14,8.7,0,0,14,1.3999999999999995,12.600000000000001
1905,2,1905-02-15,0,0,0.7,6.6,9.4,0,0,6.6,0.7000000000000011,5.899999999999999
1905,3,1905-03-15,0,15.9,34.8,20.9,44.2,0,15.9,4.999999999999998,34.800000000000004,0
1905,4,1905-04-15,0,31.4,5.8,37.2,49.9,0,31.4,5.800000000000004,5.699999999999996,0.10000000000000853
1905,5,1905-05-15,0,62,66.5,128.5,116.4,0,62,66.5,66.5,0
1905,6,1905-06-15,0,106.4,5.9,112.3,122.3,0,106.4,5.8999999999999915,5.8999999999999915,0
1905,7,1905-07-15,2.2,126.5,-11.7,114.7,112.7,0,124.3,-9.599999999999994,0,0
1905,8,1905-08-15,31,128.8,-78.2,50.6,65.6,0,97.80000000000001,-47.20000000000001,0,0
1905,9,1905-09-15,50.6,89.7,-78,11.7,38.2,0,39.1,-27.400000000000002,0,0
1905,10,1905-10-15,0,25.1,13.3,38.4,51.5,0,25.1,13.299999999999997,13.299999999999997,0
1905,11,1905-11-15,0,7.4,9.7,17,61.2,0,7.4,9.6,9.700000000000003,0
1905,12,1905-12-15,0,0,0.1,0.9,61.3,0,0,0.9,0.09999999999999432,0.8000000000000057
1906,1,1906-01-15,0,0,0.8,7.5,62,0,0,7.5,0.7000000000000028,6.799999999999997
1906,2,1906-02-15,0,0,0.7,6.6,62.7,0,0,6.6,0.7000000000000028,5.899999999999997
1906,3,1906-03-15,0,0,2.2,22.3,64.9,0,0,22.3,2.200000000000003,20.099999999999998
1906,4,1906-04-15,0,49.5,51,66.5,115.9,0,49.5,17,51,0
1906,5,1906-05-15,0,75.9,36.2,112,150,2.1000000000000085,75.9,36.099999999999994,34.099999999999994,0
1906,6,1906-06-15,6.7,108.1,-52.4,55.7,104.3,0,101.39999999999999,-45.69999999999999,0,0
1906,7,1906-07-15,52.4,134.1,-107,27.2,49.7,0,81.69999999999999,-54.499999999999986,0,0
1906,8,1906-08-15,1,119.7,-1.5,118.2,49.2,0,118.7,-0.5,0,0
1906,9,1906-09-15,20.3,86.2,-29.4,56.9,40.1,0,65.9,-9.000000000000007,0,0
1906,10,1906-10-15,0,35.2,21.9,57.1,62,0,35.2,21.9,21.9,0
1906,11,1906-11-15,0,0,9.6,9.6,71.6,0,0,9.6,9.599999999999994,5.3290705182007514e-15
1906,12,1906-12-15,0,0,1.9,19.3,73.5,0,0,19.3,1.9000000000000057,17.399999999999995
1907,1,1907-01-15,0,0,2.7,26.8,76.2,0,0,26.8,2.700000000000003,24.099999999999998
1907,2,1907-02-15,0,0,1.2,12,77.4,0,0,12,1.2000000000000028,10.799999999999997
1907,3,1907-03-15,0,14.8,48.8,10,126.2,0,14.8,-4.800000000000001,48.8,0
1907,4,1907-04-15,0.1,19.6,-0.5,19.1,125.8,0,19.5,-0.3999999999999986,0,0
1907,5,1907-05-15,0,54.3,56.7,111,150,32.5,54.3,56.7,24.200000000000003,0
1907,6,1907-06-15,8.8,113.8,-59.6,54.2,99.3,0,105,-50.8,0,0
1907,7,1907-07-15,17.1,137.1,-42.3,94.9,74.1,0,120,-25.099999999999994,0,0
1907,8,1907-08-15,64.9,126,-102.6,23.4,36.4,0,61.099999999999994,-37.699999999999996,0,0
1907,9,1907-09-15,27.1,73.8,-35,38.8,28.6,0,46.699999999999996,-7.899999999999999,0,0
1907,10,1907-10-15,18.5,40,-22.7,17.4,24.4,0,21.5,-4.100000000000001,0,0
1907,11,1907-11-15,2.5,3.8,-3,0.8,23.9,0,1.2999999999999998,-0.4999999999999998,0,0
1907,12,1907-12-15,0,0,1.2,12.1,25.1,0,0,12.1,1.2000000000000028,10.899999999999997
1908,1,1908-01-15,0,0,0.4,4,25.5,0,0,4,0.3999999999999986,3.6000000000000014
1908,2,1908-02-15,0,0,1.1,10.5,26.6,0,0,10.5,1.1000000000000014,9.399999999999999
1908,3,1908-03-15,0,3,46.6,25.4,73.2,0,3,22.4,46.6,0
1908,4,1908-04-15,6.5,46,-12.6,33.4,67.1,0,39.5,-6.100000000000001,0,0
1908,5,1908-05-15,0,69,34.9,103.8,101.9,0,69,34.8,34.80000000000001,0
1908,6,1908-06-15,4,107,-12.3,94.7,93.6,0,103,-8.299999999999997,0,0
1908,7,1908-07-15,41.5,140.8,-82.1,58.7,53,0,99.30000000000001,-40.60000000000001,0,0
1908,8,1908-08-15,42.7,115.5,-61,54.5,34.7,0,72.8,-18.299999999999997,0,0
1908,9,1908-09-15,69.7,97.2,-85.2,12,19.2,0,27.5,-15.5,0,0
1908,10,1908-10-15,0,32.2,41.2,73.5,60.5,0,32.2,41.3,41.3,0
1908,11,1908-11-15,0,4.2,9.1,13.3,69.6,0,4.2,9.100000000000001,9.099999999999994,7.105427357601002e-15
1908,12,1908-12-15,0,0,1.8,18.2,71.4,0,0,18.2,1.8000000000000114,16.399999999999988
1909,1,1909-01-15,0,0,1.4,13.7,72.8,0,0,13.7,1.3999999999999915,12.300000000000008
1909,2,1909-02-15,0,0,1.4,14,74.2,0,0,14,1.4000000000000057,12.599999999999994
1909,3,1909-03-15,0,0,50,8.1,124.2,0,0,8.1,50,0
1909,4,1909-04-15,0,17.7,4.5,22.2,128.7,0,17.7,4.5,4.499999999999986,1.4210854715202004e-14
1909,5,1909-05-15,0,69.2,22.5,91.7,150,1.1999999999999886,69.2,22.5,21.30000000000001,0
1909,6,1909-06-15,7,122.9,-53.2,69.7,103.8,0,115.9,-46.2,0,0
1909,7,1909-07-15,44.3,142.9,-94,48.9,54.1,0,98.60000000000001,-49.70000000000001,0,0
1909,8,1909-08-15,54.1,142.6,-76.4,66.2,31.9,0,88.5,-22.299999999999997,0,0
1909,9,1909-09-15,43.7,83.9,-53.6,30.3,22,0,40.2,-9.900000000000002,0,0
1909,10,1909-10-15,18.3,35.6,-21.3,14.3,19,0,17.3,-3,0,0
1909,11,1909-11-15,0,1.1,27.2,28.3,46.1,0,1.1,27.2,27.1,0.09999999999999787
1909,12,1909-12-15,0,0,3.2,31.7,49.3,0,0,31.7,3.1999999999999957,28.500000000000004
1910,1,1910-01-15,0,0,2.6,26.4,52,0,0,26.4,2.700000000000003,23.699999999999996
1910,2,1910-02-15,0,0,0.6,6.5,52.6,0,0,6.5,0.6000000000000014,5.899999999999999
1910,3,1910-03-15,0,32.9,52.3,25.7,104.9,0,32.9,-7.199999999999999,52.300000000000004,0
1910,4,1910-04-15,10.3,51.6,-29.9,21.7,85.3,0,41.3,-19.599999999999998,0,0
1910,5,1910-05-15,9.1,60.6,-20.4,40.2,74,0,51.5,-11.299999999999997,0,0
1910,6,1910-06-15,39.3,128,-66.7,61.4,46.7,0,88.7,-27.300000000000004,0,0
1910,7,1910-07-15,82.5,149.5,-106.9,42.6,22.2,0,67,-24.4,0,0
1910,8,1910-08-15,78.6,115,-88.8,26.2,12,0,36.400000000000006,-10.200000000000006,0,0
1910,9,1910-09-15,43.1,79.3,-46.4,32.9,8.7,0,36.199999999999996,-3.299999999999997,0,0
